mpg,cylinders,displacement,horsepower,weight,acceleration,model year,power_to_weight,origin_1,origin_2,origin_3
18.0,8,307.0,130.0,3504,12.0,70,0.037100456621004564,True,False,False
15.0,8,350.0,165.0,3693,11.5,70,0.04467912266450041,True,False,False
18.0,8,318.0,150.0,3436,11.0,70,0.043655413271245634,True,False,False
16.0,8,304.0,150.0,3433,12.0,70,0.043693562481794346,True,False,False
17.0,8,302.0,140.0,3449,10.5,70,0.04059147579008408,True,False,False
15.0,8,429.0,198.0,4341,10.0,70,0.04561161022805805,True,False,False
15.0,8,383.0,170.0,3563,10.0,70,0.04771260174010665,True,False,False
15.0,8,400.0,150.0,3761,9.5,70,0.03988300983780909,True,False,False
24.0,4,113.0,95.0,2372,15.0,70,0.04005059021922428,False,False,True
22.0,6,198.0,95.0,2833,15.5,70,0.03353335686551359,True,False,False
18.0,6,199.0,97.0,2774,15.5,70,0.034967555875991346,True,False,False
21.0,6,200.0,85.0,2587,16.0,70,0.032856590645535366,True,False,False
27.0,4,97.0,88.0,2130,14.5,70,0.04131455399061033,False,False,True
26.0,4,97.0,46.0,1835,20.5,70,0.025068119891008173,False,True,False
25.0,4,110.0,87.0,2672,17.5,70,0.03255988023952096,False,True,False
24.0,4,107.0,90.0,2430,14.5,70,0.037037037037037035,False,True,False
25.0,4,104.0,95.0,2375,17.5,70,0.04,False,True,False
26.0,4,121.0,113.0,2234,12.5,70,0.050581915846016116,False,True,False
21.0,6,199.0,90.0,2648,15.0,70,0.033987915407854986,True,False,False
9.0,8,304.0,193.0,4732,18.5,70,0.04078613693998309,True,False,False
27.0,4,97.0,88.0,2130,14.5,71,0.04131455399061033,False,False,True
28.0,4,140.0,90.0,2264,15.5,71,0.03975265017667844,True,False,False
25.0,4,113.0,95.0,2228,14.0,71,0.042639138240574505,False,False,True
25.0,4,98.0,93.5,2046,19.0,71,0.0456989247311828,True,False,False
19.0,6,232.0,100.0,2634,13.0,71,0.037965072133637055,True,False,False
16.0,6,225.0,105.0,3439,15.5,71,0.030532131433556268,True,False,False
17.0,6,250.0,100.0,3329,15.5,71,0.030039050765995796,True,False,False
19.0,6,250.0,88.0,3302,15.5,71,0.026650514839491216,True,False,False
18.0,6,232.0,100.0,3288,15.5,71,0.030413625304136254,True,False,False
14.0,8,350.0,165.0,4209,12.0,71,0.039201710620099785,True,False,False
14.0,8,400.0,175.0,4464,11.5,71,0.03920250896057348,True,False,False
14.0,8,351.0,153.0,4154,13.5,71,0.03683196918632643,True,False,False
14.0,8,318.0,150.0,4096,13.0,71,0.03662109375,True,False,False
12.0,8,383.0,180.0,4955,11.5,71,0.03632694248234107,True,False,False
13.0,8,400.0,170.0,4746,12.0,71,0.03581963758954909,True,False,False
13.0,8,400.0,175.0,5140,12.0,71,0.03404669260700389,True,False,False
18.0,6,258.0,110.0,2962,13.5,71,0.03713706954760297,True,False,False
22.0,4,140.0,72.0,2408,19.0,71,0.029900332225913623,True,False,False
19.0,6,250.0,100.0,3282,15.0,71,0.030469226081657527,True,False,False
18.0,6,250.0,88.0,3139,14.5,71,0.028034405861739407,True,False,False
23.0,4,122.0,86.0,2220,14.0,71,0.03873873873873874,True,False,False
28.0,4,116.0,90.0,2123,14.0,71,0.04239284032030146,False,True,False
30.0,4,79.0,70.0,2074,19.5,71,0.033751205400192864,False,True,False
30.0,4,88.0,76.0,2065,14.5,71,0.036803874092009685,False,True,False
31.0,4,71.0,65.0,1773,19.0,71,0.03666102650874224,False,False,True
35.0,4,72.0,69.0,1613,18.0,71,0.04277743335399876,False,False,True
27.0,4,97.0,60.0,1834,19.0,71,0.03271537622682661,False,True,False
26.0,4,91.0,70.0,1955,20.5,71,0.03580562659846547,True,False,False
24.0,4,113.0,95.0,2278,15.5,72,0.04170324846356453,False,False,True
25.0,4,97.5,80.0,2126,17.0,72,0.03762935089369708,True,False,False
20.0,4,140.0,90.0,2408,19.5,72,0.03737541528239203,True,False,False
21.0,4,122.0,86.0,2226,16.5,72,0.03863432165318958,True,False,False
13.0,8,350.0,165.0,4274,12.0,72,0.0386055217594759,True,False,False
14.0,8,400.0,175.0,4385,12.0,72,0.039908779931584946,True,False,False
15.0,8,318.0,150.0,4135,13.5,72,0.036275695284159616,True,False,False
14.0,8,351.0,153.0,4129,13.0,72,0.03705497699200775,True,False,False
17.0,8,304.0,150.0,3672,11.5,72,0.04084967320261438,True,False,False
13.0,8,350.0,155.0,4502,13.5,72,0.03442914260328743,True,False,False
12.0,8,350.0,160.0,4456,13.5,72,0.03590664272890485,True,False,False
13.0,8,400.0,190.0,4422,12.5,72,0.04296698326549073,True,False,False
19.0,3,70.0,97.0,2330,13.5,72,0.041630901287553645,False,False,True
15.0,8,304.0,150.0,3892,12.5,72,0.03854059609455293,True,False,False
13.0,8,307.0,130.0,4098,14.0,72,0.0317227916056613,True,False,False
13.0,8,302.0,140.0,4294,16.0,72,0.032603632976245925,True,False,False
14.0,8,318.0,150.0,4077,14.0,72,0.03679175864606328,True,False,False
18.0,4,121.0,112.0,2933,14.5,72,0.03818615751789976,False,True,False
22.0,4,121.0,76.0,2511,18.0,72,0.030266825965750695,False,True,False
21.0,4,120.0,87.0,2979,19.5,72,0.02920443101711984,False,True,False
26.0,4,96.0,69.0,2189,18.0,72,0.031521242576518956,False,True,False
22.0,4,122.0,86.0,2395,16.0,72,0.03590814196242171,True,False,False
28.0,4,97.0,92.0,2288,17.0,72,0.04020979020979021,False,False,True
23.0,4,120.0,97.0,2506,14.5,72,0.038707102952913006,False,False,True
28.0,4,98.0,80.0,2164,15.0,72,0.036968576709796676,True,False,False
27.0,4,97.0,88.0,2100,16.5,72,0.0419047619047619,False,False,True
13.0,8,350.0,175.0,4100,13.0,73,0.042682926829268296,True,False,False
14.0,8,304.0,150.0,3672,11.5,73,0.04084967320261438,True,False,False
13.0,8,350.0,145.0,3988,13.0,73,0.03635907723169508,True,False,False
14.0,8,302.0,137.0,4042,14.5,73,0.0338941118258288,True,False,False
15.0,8,318.0,150.0,3777,12.5,73,0.03971405877680699,True,False,False
12.0,8,429.0,198.0,4952,11.5,73,0.03998384491114701,True,False,False
13.0,8,400.0,150.0,4464,12.0,73,0.033602150537634407,True,False,False
13.0,8,351.0,158.0,4363,13.0,73,0.03621361448544579,True,False,False
14.0,8,318.0,150.0,4237,14.5,73,0.03540240736370073,True,False,False
13.0,8,360.0,175.0,3821,11.0,73,0.04579952891913112,True,False,False
18.0,6,225.0,105.0,3121,16.5,73,0.03364306312079462,True,False,False
16.0,6,250.0,100.0,3278,18.0,73,0.03050640634533252,True,False,False
18.0,6,232.0,100.0,2945,16.0,73,0.03395585738539898,True,False,False
18.0,6,250.0,88.0,3021,16.5,73,0.029129427341939754,True,False,False
23.0,6,198.0,95.0,2904,16.0,73,0.03271349862258953,True,False,False
26.0,4,97.0,46.0,1950,21.0,73,0.02358974358974359,False,True,False
11.0,8,400.0,150.0,4997,14.0,73,0.03001801080648389,True,False,False
12.0,8,400.0,167.0,4906,12.5,73,0.03403995108030983,True,False,False
13.0,8,360.0,170.0,4654,13.0,73,0.0365277180919639,True,False,False
12.0,8,350.0,180.0,4499,12.5,73,0.04000889086463658,True,False,False
18.0,6,232.0,100.0,2789,15.0,73,0.035855145213338116,True,False,False
20.0,4,97.0,88.0,2279,19.0,73,0.03861342694164107,False,False,True
21.0,4,140.0,72.0,2401,19.5,73,0.029987505206164097,True,False,False
22.0,4,108.0,94.0,2379,16.5,73,0.039512400168137875,False,False,True
18.0,3,70.0,90.0,2124,13.5,73,0.0423728813559322,False,False,True
19.0,4,122.0,85.0,2310,18.5,73,0.0367965367965368,True,False,False
21.0,6,155.0,107.0,2472,14.0,73,0.043284789644012944,True,False,False
26.0,4,98.0,90.0,2265,15.5,73,0.039735099337748346,False,True,False
15.0,8,350.0,145.0,4082,13.0,73,0.035521803037726604,True,False,False
29.0,4,68.0,49.0,1867,19.5,73,0.026245313336904125,False,True,False
24.0,4,116.0,75.0,2158,15.5,73,0.03475440222428174,False,True,False
20.0,4,114.0,91.0,2582,14.0,73,0.03524399690162665,False,True,False
19.0,4,121.0,112.0,2868,15.5,73,0.03905160390516039,False,True,False
15.0,8,318.0,150.0,3399,11.0,73,0.0441306266548985,True,False,False
24.0,4,121.0,110.0,2660,14.0,73,0.041353383458646614,False,True,False
20.0,6,156.0,122.0,2807,13.5,73,0.04346277164232276,False,False,True
11.0,8,350.0,180.0,3664,11.0,73,0.04912663755458515,True,False,False
20.0,6,198.0,95.0,3102,16.5,74,0.030625402965828497,True,False,False
21.0,6,200.0,93.5,2875,17.0,74,0.03252173913043478,True,False,False
19.0,6,232.0,100.0,2901,16.0,74,0.03447087211306446,True,False,False
15.0,6,250.0,100.0,3336,17.0,74,0.02997601918465228,True,False,False
31.0,4,79.0,67.0,1950,19.0,74,0.03435897435897436,False,False,True
26.0,4,122.0,80.0,2451,16.5,74,0.032639738882088945,True,False,False
32.0,4,71.0,65.0,1836,21.0,74,0.03540305010893246,False,False,True
25.0,4,140.0,75.0,2542,17.0,74,0.029504327301337528,True,False,False
16.0,6,250.0,100.0,3781,17.0,74,0.026448029621793177,True,False,False
16.0,6,258.0,110.0,3632,18.0,74,0.0302863436123348,True,False,False
18.0,6,225.0,105.0,3613,16.5,74,0.029061721561029614,True,False,False
16.0,8,302.0,140.0,4141,14.0,74,0.03380825887466796,True,False,False
13.0,8,350.0,150.0,4699,14.5,74,0.03192168546499255,True,False,False
14.0,8,318.0,150.0,4457,13.5,74,0.03365492483733453,True,False,False
14.0,8,302.0,140.0,4638,16.0,74,0.030185424752048298,True,False,False
14.0,8,304.0,150.0,4257,15.5,74,0.035236081747709654,True,False,False
29.0,4,98.0,83.0,2219,16.5,74,0.03740423614240649,False,True,False
26.0,4,79.0,67.0,1963,15.5,74,0.03413143148242486,False,True,False
26.0,4,97.0,78.0,2300,14.5,74,0.03391304347826087,False,True,False
31.0,4,76.0,52.0,1649,16.5,74,0.031534263189812006,False,False,True
32.0,4,83.0,61.0,2003,19.0,74,0.030454318522216674,False,False,True
28.0,4,90.0,75.0,2125,14.5,74,0.03529411764705882,True,False,False
24.0,4,90.0,75.0,2108,15.5,74,0.03557874762808349,False,True,False
26.0,4,116.0,75.0,2246,14.0,74,0.033392698130008905,False,True,False
24.0,4,120.0,97.0,2489,15.0,74,0.038971474487746086,False,False,True
26.0,4,108.0,93.0,2391,15.5,74,0.03889585947302384,False,False,True
31.0,4,79.0,67.0,2000,16.0,74,0.0335,False,True,False
19.0,6,225.0,95.0,3264,16.0,75,0.029105392156862746,True,False,False
18.0,6,250.0,105.0,3459,16.0,75,0.030355594102341718,True,False,False
15.0,6,250.0,72.0,3432,21.0,75,0.02097902097902098,True,False,False
15.0,6,250.0,72.0,3158,19.5,75,0.022799240025332488,True,False,False
16.0,8,400.0,170.0,4668,11.5,75,0.03641816623821765,True,False,False
15.0,8,350.0,145.0,4440,14.0,75,0.03265765765765766,True,False,False
16.0,8,318.0,150.0,4498,14.5,75,0.03334815473543797,True,False,False
14.0,8,351.0,148.0,4657,13.5,75,0.031780115954477134,True,False,False
17.0,6,231.0,110.0,3907,21.0,75,0.028154594317890965,True,False,False
16.0,6,250.0,105.0,3897,18.5,75,0.026943802925327175,True,False,False
15.0,6,258.0,110.0,3730,19.0,75,0.029490616621983913,True,False,False
18.0,6,225.0,95.0,3785,19.0,75,0.02509907529722589,True,False,False
21.0,6,231.0,110.0,3039,15.0,75,0.0361961171437973,True,False,False
20.0,8,262.0,110.0,3221,13.5,75,0.034150884818379384,True,False,False
13.0,8,302.0,129.0,3169,12.0,75,0.04070684758598927,True,False,False
29.0,4,97.0,75.0,2171,16.0,75,0.03454629203132197,False,False,True
23.0,4,140.0,83.0,2639,17.0,75,0.03145130731337628,True,False,False
20.0,6,232.0,100.0,2914,16.0,75,0.03431708991077557,True,False,False
23.0,4,140.0,78.0,2592,18.5,75,0.03009259259259259,True,False,False
24.0,4,134.0,96.0,2702,13.5,75,0.03552923760177646,False,False,True
25.0,4,90.0,71.0,2223,16.5,75,0.031938821412505626,False,True,False
24.0,4,119.0,97.0,2545,17.0,75,0.0381139489194499,False,False,True
18.0,6,171.0,97.0,2984,14.5,75,0.032506702412868634,True,False,False
29.0,4,90.0,70.0,1937,14.0,75,0.036138358286009295,False,True,False
19.0,6,232.0,90.0,3211,17.0,75,0.02802865151043289,True,False,False
23.0,4,115.0,95.0,2694,15.0,75,0.03526354862657758,False,True,False
23.0,4,120.0,88.0,2957,17.0,75,0.029759891782211702,False,True,False
22.0,4,121.0,98.0,2945,14.5,75,0.033276740237691005,False,True,False
25.0,4,121.0,115.0,2671,13.5,75,0.0430550355672033,False,True,False
33.0,4,91.0,53.0,1795,17.5,75,0.029526462395543174,False,False,True
28.0,4,107.0,86.0,2464,15.5,76,0.0349025974025974,False,True,False
25.0,4,116.0,81.0,2220,16.9,76,0.03648648648648649,False,True,False
25.0,4,140.0,92.0,2572,14.9,76,0.03576982892690513,True,False,False
26.0,4,98.0,79.0,2255,17.7,76,0.03503325942350333,True,False,False
27.0,4,101.0,83.0,2202,15.3,76,0.037693006357856496,False,True,False
17.5,8,305.0,140.0,4215,13.0,76,0.033214709371293,True,False,False
16.0,8,318.0,150.0,4190,13.0,76,0.03579952267303103,True,False,False
15.5,8,304.0,120.0,3962,13.9,76,0.03028773346794548,True,False,False
14.5,8,351.0,152.0,4215,12.8,76,0.03606168446026097,True,False,False
22.0,6,225.0,100.0,3233,15.4,76,0.03093102381688834,True,False,False
22.0,6,250.0,105.0,3353,14.5,76,0.031315240083507306,True,False,False
24.0,6,200.0,81.0,3012,17.6,76,0.026892430278884463,True,False,False
22.5,6,232.0,90.0,3085,17.6,76,0.029173419773095625,True,False,False
24.5,4,98.0,60.0,2164,22.1,76,0.027726432532347505,True,False,False
29.0,4,90.0,70.0,1937,14.2,76,0.036138358286009295,False,True,False
33.0,4,91.0,53.0,1795,17.4,76,0.029526462395543174,False,False,True
20.0,6,225.0,100.0,3651,17.7,76,0.027389756231169543,True,False,False
18.0,6,250.0,78.0,3574,21.0,76,0.02182428651371013,True,False,False
18.5,6,250.0,110.0,3645,16.2,76,0.03017832647462277,True,False,False
